City,Location,Region
Viridian City,"East side of the city, next to the Pokémon Academy",Kanto
Pewter City,"Middle of the city, next to the Pewter Gym",Kanto
Cerulean City,"Southern side of Cerulean, south of Cerulean Gym",Kanto
Vermilion City,Middle of the city near the Route 11 entrance,Kanto
Lavender Town,"South-eastern side of the town, south of Pokémon Tower",Kanto
Saffron City,"Eastern side of the city, near the Route 8 entrance",Kanto
Fuchsia City,"Western side of the Pokémon Zoo, north from the pool of Lapras",Kanto
Cinnabar Island,"Southern side of the Island, next to the Pokémon Center",Kanto
Indigo Plateau,Inside the Pokémon League building,Kanto
Cherrygrove City,"Northern side of the city, east of Route 30",Johto
Violet City,"Western side of the city, left of the Violet Gym",Johto
Azalea Town,"Center of town, north of cutter's house",Johto
Ecruteak City,"Far eastern side of the city, next to the Kimono Dance Theater",Johto
Olivine City,"Middle of town, north of the S.S. Aqua port",Johto
Blackthorn City,"South side of town, left of the Pokémon Center",Johto
Frontier Access,"North-western side of town, south of entry to Battle Frontier",Johto
Oldale Town,Northeastern side of the town,Hoenn
Petalburg City,"Eastern side of the city, next to the Pokémon Center",Hoenn
Rustboro City,Southernmost point in the city,Hoenn
Slateport City,"Middle of the city, just north of the Slateport Market",Hoenn
Mauville City,"Southern side of the city, near Route 110",Hoenn
Trainer HillE,In the lobby,Hoenn
Verdanturf Town,"North side of town, left of the Pokémon Center",Hoenn
Fallarbor Town,Southeastern side of the town,Hoenn
Lavaridge Town,"Northeastern side of the town, right of the Pokémon Center",Hoenn
Fortree City,"Far western side of the town, near Route 119, before the treehouses",Hoenn
Mossdeep City,"Middle of the city, south of Mossdeep Gym",Hoenn
Sootopolis City,"Western side of the city, up the first flight of stairs",Hoenn
Ever Grande City (Pokémon League),Inside the Pokémon League building,Hoenn
Battle FrontierE,Near the Pokémon Center in the group of buildings south of the Battle Tower,Hoenn
Cinnabar Island,"Southern side of the island, next to the Pokémon Center",Kanto
Sandgem Town,Northeastern side of the town,Sinnoh
Jubilife City,"Eastern side of the city, near the Route 203 entrance",Sinnoh
Oreburgh City,North point of the city,Sinnoh
Floaroma Town,"Eastern side of the city, near the Route 205 entrance",Sinnoh
Eterna City,"Middle of the city, near the Eterna Condominiums",Sinnoh
Hearthome City,"Middle of the city, near the Poffin House",Sinnoh
Solaceon Town,"South side of the town, next to a patch of Berries",Sinnoh
Pastoria City,"Southern side of the town, near the Scarf Guy's house",Sinnoh
Canalave City,"Eastern side of the city, near the Move Deleter's house",Sinnoh
Snowpoint City,"Southwestern point of the city, opposite to the Pokémon Center",Sinnoh
Sunyshore City,"Middle of the city, near the Sunyshore Market",Sinnoh
Pokémon League,Inside the Pokémon League building,Sinnoh
Fight Area,"Eastern side of the area, near the entrance of the Battle Park",Battle Zone
Survival Area,"Top right building, next to the Pokémon Center",Battle Zone
Accumula Town,East side of the town,Unova
Striaton City,"In the middle top of the city, west of Gym",Unova
Nacrene City,Southern side of Nacrene,Unova
Castelia City,Center of road along the ocean,Unova
